ID;Num_Doc;Statement;Type
305:3;Atom_902;I've reworked the way this css works to fix the missing pixels in the corner will implement and create a PR ;Non-Argument
305:4;Atom_902;"This probably wont be an issue with the new trapezoidal tabs.";Claim
305:6;Atom_902;No, but I think we should ship with both square and 'chrome like' tabs.;Claim
305:10;Atom_902;Its minor;Claim
305:11;Atom_902;the bottom left corner of the tabs are missing their border;Premise
305:14;Atom_902;I think this can be closed.;Claim
305:15;Atom_902;Tabs were redesigned and shipped,;Premise
306:1;Atom_995;"Prevent duplicates in the system menuDupes of label -> command menu items should be gracefully handled.";Claim
306:2;Atom_995;"I was just going to do equality based on the label within the same menu, does that make sense to you?";Non-Argument
306:7;Atom_995;Yeah, I was originally thinking we would allow duplicates;Claim
306:8;Atom_995;Maybe dupes on labels is better with a `console.warn` when they occur.;Premise
307:5;Atom_1159;"I like the idea of separating panes from buffers. @nathansobo, is this something that will work in the new panes refactor?";Claim
307:7;Atom_1159;"It's in the works. All my code assumes empty panes are allowed.";Non-Argument
307:8;Atom_1159;:+1: to getting this rolling. It's a huge thing for me too.;Claim
307:9;Atom_1159;"Closed via #1417";Non-Argument
307:12;Atom_1159;I don't think this is a bug;Claim
307:13;Atom_1159;Atom seems like it continues to tie the idea of splits, etc to the idea of buffers;Claim
307:14;Atom_1159;whether it's an inability to manage panes when there are no open buffers, an inability to unsplit panes, or the fact that a pane disappears when its last buffer is closed.;Premise
307:15;Atom_1159;I'm consistently frustrated by this;Claim
307:17;Atom_1159;I agree with you on this.;Claim
307:19;Atom_1159;I'd like to fix this, and as a group we did come to a consensus that this should be done. We just havent got to it yet.;Claim
308:4;Atom_1708;This could be made a little clearer.;Claim
308:6;Atom_1708;"creating a folder is weirdAttempt to add folder using this right click menu";Claim
308:7;Atom_1708;"![screen shot 2014-03-05 at 10 11 02 pm](https://f.cloud.github.com/assets/62968/2342404/20cb4850-a4f6-11e3-888e-b923d73e01fb.png)enter name of new folder![screen shot 2014-03-05 at 10 11 29 pm](https://f.cloud.github.com/assets/62968/2342412/3ae61b2a-a4f6-11e3-9283-1fa4a9b1b773.png)";Premise
308:8;Atom_1708;Fixed;Claim
308:9;Atom_1708;tree-view#82;Premise
309:6;Atom_2781;I find this immensely useful and would love;Claim
