ID;Num_Doc;Statement;Type
305:4;Atom_902;"This probably wont be an issue with the new trapezoidal tabs.";Claim: Probability/doubtfulness
305:6;Atom_902;No, but I think we should ship with both square and 'chrome like' tabs.;Claim: Hypothesis/ Opinion
305:10;Atom_902;Its minor;Claim: Assertion
305:14;Atom_902;I think this can be closed.;Claim: Hypothesis/ Opinion
306:1;Atom_995;"Prevent duplicates in the system menuDupes of label -> command menu items should be gracefully handled.";Claim: Hypothesis/ Opinion
306:7;Atom_995;Yeah, I was originally thinking we would allow duplicates;Claim: Hypothesis/ Opinion
307:5;Atom_1159;"I like the idea of separating panes from buffers. @nathansobo, is this something that will work in the new panes refactor?";Claim: Hypothesis/ Opinion
307:8;Atom_1159;:+1: to getting this rolling. It's a huge thing for me too.;Claim: Hypothesis/ Opinion
307:12;Atom_1159;I don't think this is a bug;Claim: Hypothesis/ Opinion
307:13;Atom_1159;Atom seems like it continues to tie the idea of splits, etc to the idea of buffers;Claim: Hypothesis/ Opinion
307:15;Atom_1159;I'm consistently frustrated by this;Claim: Hypothesis/ Opinion
307:17;Atom_1159;I agree with you on this.;Claim: Hypothesis/ Opinion
307:19;Atom_1159;I'd like to fix this, and as a group we did come to a consensus that this should be done. We just havent got to it yet.;Claim: Hypothesis/ Opinion
308:4;Atom_1708;This could be made a little clearer.;Claim: Hypothesis/ Opinion
308:6;Atom_1708;"creating a folder is weirdAttempt to add folder using this right click menu";Claim: Assertion
308:8;Atom_1708;Fixed;Claim: Assertion
309:6;Atom_2781;I find this immensely useful and would love;Claim: Hypothesis/ Opinion
309:9;Atom_2781;I think done properly,;Claim: Hypothesis/ Opinion
309:12;Atom_2781;That's a neat idea;Claim: Assertion
309:13;Atom_2781;I think it would be cool to have separate issues for those.;Claim: Hypothesis/ Opinion
309:14;Atom_2781;I think [this issue](https://github.com/atom/find-and-replace/issues/67) lists a bunch of things which that package doesn't have compared to Sublime;Claim: Hypothesis/ Opinion
309:15;Atom_2781;Add quick skip next for multi select;Claim: Suggestion/ recommendation
310:3;Atom_3064;"Ok. Then I guess the change for this issue is:1. Display the shortcut in the menu.2. Allow the shortcut to be configured in the keymappings.";Claim: Hypothesis/ Opinion
310:11;Atom_3064;Fixed by #3409 thanks;Claim: Assertion
310:14;Atom_3064;"""Open Folder"" is usually what I want on linux,";Claim: Hypothesis/ Opinion
310:15;Atom_3064;The shortcut keymapping can actually be configured via the `~/.atom/keymap.cson` and if you do add an (redundant) entry, it will make the shortcut appear in the menu:;Claim: Hypothesis/ Opinion
310:16;Atom_3064;I'd be up for changing `ctrl-shift-O` to be the actual Open Folder command, do you know any other apps that follow this behavior for opening files vs. folders?;Claim: Hypothesis/ Opinion
310:17;Atom_3064;I think `Ctrl` is a good leading modifier key.;Claim: Hypothesis/ Opinion
310:18;Atom_3064;`O` seems intuitive;Claim: Probability/doubtfulness
310:19;Atom_3064;the obvious choice would be `Alt`: <kbd>Ctrl</kbd>+<kbd>Alt</kbd>+<kbd>O</kbd> to open a folder.;Claim: Suggestion/ recommendation
310:20;Atom_3064;As far as I can see, there is no such binding in Atom or the bundled packages.;Claim: Hypothesis/ Opinion
