ID;Num_Doc;Statement;Type
305:11;Atom_902;the bottom left corner of the tabs are missing their border;Premise: Specific usage experience
305:15;Atom_902;Tabs were redesigned and shipped,;Premise: Evidence that the issue is or can be resolved
306:8;Atom_995;Maybe dupes on labels is better with a `console.warn` when they occur.;Premise: Evidence that the issue is or can be resolved
307:14;Atom_1159;whether it's an inability to manage panes when there are no open buffers, an inability to unsplit panes, or the fact that a pane disappears when its last buffer is closed.;Premise: Specific usage experience
308:7;Atom_1708;"![screen shot 2014-03-05 at 10 11 02 pm](https://f.cloud.github.com/assets/62968/2342404/20cb4850-a4f6-11e3-888e-b923d73e01fb.png)enter name of new folder![screen shot 2014-03-05 at 10 11 29 pm](https://f.cloud.github.com/assets/62968/2342412/3ae61b2a-a4f6-11e3-9283-1fa4a9b1b773.png)";Premise: Visual content or supporting file
308:9;Atom_1708;tree-view#82;Premise: Referring to another issue
309:7;Atom_2781;When you're using the keyboard to do multi-select SublimeText (cmd-d on mac), you can skip the next occurrence of the selection with a hotkey combo (cmd-k, cmd-d on mac).;Premise: Comparing with competitors/consistency
309:11;Atom_2781;More info on what's done in SublimeText here:;Premise: Visual content or supporting file
310:30;Atom_3064;since it loads the CoffeeScript code from the repository instead of the JavaScript from the built app.;Premise: Referring to another issue
310:31;Atom_3064;Since opening a folder is a command to be executed;Premise: Specific usage experience
310:32;Atom_3064;because opening a file or a folder in dev mode use the same character;Premise: Clarification/ providing additional information
310:33;Atom_3064;Since `Shift` is used by `application:open-dev` by defaul;Premise: Referring to another issue
310:34;Atom_3064;"I see this going two ways:A) We decide the keybind based on C# IDEs - `ctrl-shift-o`B) We create a poll with choices `ctrl-shift-o`, `ctrl-alt-o` or `suggestion` and users vote.";Premise: Referring to another issue
310:35;Atom_3064;since it was the only way to have a stable window and bleeding edge window so you could use atom while developing atom.;Premise: Referring to another issue
310:36;Atom_3064;![image](https://cloud.githubusercontent.com/assets/11575/3791348/8fed6a9e-1b37-11e4-9f05-41ac3ffa5060.png);Premise: Visual content or supporting file
310:37;Atom_3064;as it's the default on OS/X. I can't seem to find a possibility to add a shortcut for this on linux. It doesn't appear in the keybindings menu, and the menu item for it in the file menu is blank, indicating no shortcut.;Premise: Specific usage experience
310:39;Atom_3064;but I just tested and it works in an intuitive way: <kbd>Ctrl</kbd> + <kbd>Shift</kbd> + <kbd>O</kbd>;Premise: Visual content or supporting file
311:17;Atom_3512;[Screenshot](http://i.imgur.com/9trR46V.png);Premise: Visual content or supporting file
